link,name,url,price
https://www.flipkart.com/acer-swift-go-14-amd-ryzen-5-hexa-core-7430u-16-gb-512-gb-ssd-windows-11-home-sfg14-41-r6g9-thin-light-laptop/p/itm52551833a1d42?pid=COMH3GFNKMHJEBYF&lid=LSTCOMH3GFNKMHJEBYFYBAVSV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&iid=en_PkwHfZWLzCBxF3PMDckNPOvVDomykcoSydzgzT3KbubVr-jjOFAjXq4odYUlikR9YpevpJhJ_RCvkYm6iy9_WfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=hnbm45nmog0000001736851839382&qH=312f91285e048e09,Acer Swift Go 14 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) SFG14-41-R6G9 Thin a...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/g/e/-original-imah3zvxy99qn787.jpeg?q=70,Not Available
https://www.flipkart.com/hp-amd-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15s-eq2305au-thin-light-laptop/p/itmfad54ff933d4c?pid=COMGZC2GUZJXNHHS&lid=LSTCOMGZC2GUZJXNHHSJP0KBR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&iid=en_PkwHfZWLzCBxF3PMDckNPOvVDomykcoSydzgzT3Kbubb_hS4Xvf-NGgBPOUpD7ji2XdCrV7v625jQqciCE0i8_UFjCTyOHoHZs-Z5_PS_w0%3D&ssid=hnbm45nmog0000001736851839382&qH=312f91285e048e09,HP AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s-eq2305AU Thin and Light Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/y/z/-original-imah4qsjbjkkymuk.jpeg?q=70,Not Available
https://www.flipkart.com/lenovo-v14-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-v-14-thin-light-laptop/p/itme87a00a2ff6c2?pid=COMH76FG3MCSNRDV&lid=LSTCOMH76FG3MCSNRDVPDKKL7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&iid=4bee59f1-c164-49a0-bc87-aeceff4c5fdc.COMH76FG3MCSNRDV.SEARCH&ssid=hnbm45nmog0000001736851839382&qH=312f91285e048e09,Lenovo V14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) V 14 Thin and Light Lapto...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/q/c/lenovo-v14-g3-laptop-lenovo-original-imah34rsm7bxeswg.jpeg?q=70,Not Available
https://www.flipkart.com/infinix-y3-max-series-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itm6267fa4f35865?pid=COMH34U3JSYQJXZY&lid=LSTCOMH34U3JSYQJXZYG4FDV7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&iid=4bee59f1-c164-49a0-bc87-aeceff4c5fdc.COMH34U3JSYQJXZY.SEARCH&ssid=hnbm45nmog0000001736851839382&qH=312f91285e048e09,Infinix Y3 Max Series Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/s/e/yl613-thin-and-light-laptop-infinix-original-imah3525cvxzzpvp.jpeg?q=70,Not Available
https://www.flipkart.com/samsung-galaxy-book4-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-np750xgj-kg1in-np750xgj-lg1in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDFZXHWYWZ&lid=LSTCOMGZUYDFZXHWYWZJ6V2KW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&iid=4bee59f1-c164-49a0-bc87-aeceff4c5fdc.COMGZUYDFZXHWYWZ.SEARCH&ssid=hnbm45nmog0000001736851839382&qH=312f91285e048e09,SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG1IN /...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/g/m/-original-imah3xrqttkdbss4.jpeg?q=70,Not Available
https://www.flipkart.com/hp-15-2024-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-15-fc0154au-thin-light-laptop/p/itm341b4714ead99?pid=COMH56DFUBTUMXRH&lid=LSTCOMH56DFUBTUMXRHDFKSBW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&iid=en_PkwHfZWLzCBxF3PMDckNPOvVDomykcoSydzgzT3KbuZrhbpUVm6rlHrWoHQqgkzqtSIN-Q2h5C86m_f8377pL33Gaq_wzx4HJysDmGalzMk%3D&ssid=hnbm45nmog0000001736851839382&qH=312f91285e048e09,HP 15 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0154AU Thin and Ligh...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/w/5/-original-imagpecqk6gdp9dh.jpeg?q=70,Not Available
https://www.flipkart.com/samsung-galaxy-book4-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg3in-np750xgj-lg3in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDYPUZAAXD&lid=LSTCOMGZUYDYPUZAAXDBMAOEF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&iid=4bee59f1-c164-49a0-bc87-aeceff4c5fdc.COMGZUYDYPUZAAXD.SEARCH&ssid=hnbm45nmog0000001736851839382&qH=312f91285e048e09,SAMSUNG Galaxy Book4 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG3IN ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/y/j/-original-imah3xrqppxmnzcv.jpeg?q=70,Not Available
https://www.flipkart.com/infinix-y3-max-series-intel-core-i3-12th-gen-1215u-8-gb-256-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itm6267fa4f35865?pid=COMH34U3X4J7HZ49&lid=LSTCOMH34U3X4J7HZ4925PXDG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&iid=4bee59f1-c164-49a0-bc87-aeceff4c5fdc.COMH34U3X4J7HZ49.SEARCH&ssid=hnbm45nmog0000001736851839382&qH=312f91285e048e09,Infinix Y3 Max Series Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) YL613 Thin and ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/s/e/yl613-thin-and-light-laptop-infinix-original-imah3525cvxzzpvp.jpeg?q=70,Not Available
https://www.flipkart.com/samsung-galaxy-book4-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&iid=4bee59f1-c164-49a0-bc87-aeceff4c5fdc.COMGZUYDGFJGHZR4.SEARCH&ssid=hnbm45nmog0000001736851839382&qH=312f91285e048e09,SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/3/g/m/-original-imah3xrqttkdbss4.jpeg?q=70,Not Available
https://www.flipkart.com/infinix-y3-max-series-intel-core-i3-12th-gen-1215u-16-gb-256-gb-ssd-windows-11-home-yl613-thin-light-laptop/p/itm6267fa4f35865?pid=COMH34U3DXFWH2EG&lid=LSTCOMH34U3DXFWH2EGPVOAQQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&iid=4bee59f1-c164-49a0-bc87-aeceff4c5fdc.COMH34U3DXFWH2EG.SEARCH&ssid=hnbm45nmog0000001736851839382&qH=312f91285e048e09,Infinix Y3 Max Series Intel Core i3 12th Gen 1215U - (16 GB/256 GB SSD/Windows 11 Home) YL613 Thin and...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/s/e/yl613-thin-and-light-laptop-infinix-original-imah3525cvxzzpvp.jpeg?q=70,Not Available
